ticker,name,n_obs,hist_var_95,hist_var_99,param_var_95,param_var_99,garch_var_95,garch_var_99,hist_es_95,hist_es_99,garch_es_95,garch_es_99,kupiec_N,kupiec_T,kupiec_obs_pct,kupiec_exp_pct,kupiec_LR,kupiec_pval,kupiec_verdict
^NSEI,Nifty 50,1235,1.3833,2.2951,1.3883,1.9785,1.2266,1.7601,2.0159,3.2147,1.5537,2.0254,13,1235,1.053,1.0,0.034,0.8538,PASS ✓
^NSEBANK,Bank Nifty,1234,1.5988,3.2201,1.7284,2.4592,1.6551,2.3585,2.555,4.281,2.0864,2.7082,13,1234,1.053,1.0,0.035,0.8515,PASS ✓
^CNXIT,Nifty IT,1234,2.1513,3.9103,2.2114,3.1311,2.6562,3.7744,3.2498,4.8507,3.3418,4.3304,13,1234,1.053,1.0,0.035,0.8515,PASS ✓
^CNXPHARMA,Nifty Pharma,1233,1.5654,2.2406,1.5408,2.1981,1.4292,2.0469,2.1006,2.9644,1.808,2.3541,13,1233,1.054,1.0,0.0361,0.8492,PASS ✓
^CNXAUTO,Nifty Auto,1226,1.9695,3.5522,1.9293,2.7601,1.9702,2.8282,2.8524,4.1764,2.4963,3.2549,13,1226,1.06,1.0,0.0442,0.8334,PASS ✓
