Date,BankNifty,Nifty,hedge_ratio,spread,zscore
2020-06-25,21505.900390625,10288.900390625,1.6779968725081964,4241.157713607889,1.6563563116706734
2020-06-26,21591.80078125,10383.0,1.733058590801585,3597.4534329571434,1.5147572995372625
2020-06-29,21358.751953125,10312.400390625,1.7960681022503666,2836.9785538892174,1.3701921457307087
2020-06-30,21369.90234375,10302.099609375,1.8670076925835828,2135.8031232845533,1.2424196902497646
2020-07-01,21977.34375,10430.0498046875,1.9312852245985717,1833.9426703798126,1.1691315008841652
2020-07-02,21952.943359375,10551.7001953125,1.988028472712605,975.8629355665944,1.032167806864759
2020-07-03,21852.146484375,10607.349609375,1.9954653693691147,685.5476780761819,0.9689188689943232
2020-07-06,22198.69140625,10763.650390625,2.0147960297142085,512.1313339869594,0.9211765717059728
2020-07-07,22627.736328125,10799.650390625,2.0579143302968532,402.9810270618036,0.8825796792610608
2020-07-08,22584.388671875,10705.75,2.1007836876570667,93.92370774035953,0.8208999050484789
2020-07-09,22906.93359375,10813.4501953125,2.1482277607156655,-322.8203049365475,0.7480538247328039
2020-07-10,22398.189453125,10768.0498046875,2.1641677392859666,-905.6765492042396,0.6569375468782295
2020-07-13,22088.994140625,10802.7001953125,2.1678298450778546,-1329.4217502018073,0.5868605616611419
2020-07-14,21391.951171875,10607.349609375,2.175867499475733,-1688.2360987406755,0.5263603901882618
2020-07-15,21340.501953125,10618.2001953125,2.1815679045696497,-1823.822797263936,0.4931203980660912
2020-07-16,21596.8984375,10739.9501953125,2.18529969396624,-1873.1114375290672,0.4700875724231156
2020-07-17,21966.544921875,10901.7001953125,2.1751540055206617,-1746.331924944363,0.46747706107579556
2020-07-20,22321.58984375,11022.2001953125,2.1734446976540496,-1634.552727233382,0.4628911705571929
2020-07-21,22781.734375,11162.25,2.17694088787237,-1517.824050653362,0.4583421256983962
2020-07-22,22882.333984375,11132.599609375,2.193392555361197,-1535.8271206450918,0.4373080222051893
2020-07-23,23083.6328125,11215.4501953125,2.216746854365842,-1778.1811282557537,0.38937940031792384
2020-07-24,22661.787109375,11194.150390625,2.2173662194022943,-2159.7438217058734,0.3244360907507993
2020-07-27,21848.49609375,11131.7998046875,2.179137547446804,-2409.226831305532,0.2748694218007457
2020-07-28,22104.94140625,11300.5498046875,2.1471630834000632,-2159.1819564987964,0.2870096414319466
2020-07-29,22076.34375,11202.849609375,2.1250330900143326,-1730.082372376015,0.3208131008166774
2020-07-30,21646.59765625,11102.150390625,2.110084607208588,-1779.878989922625,0.29437721551231477
2020-07-31,21639.798828125,11073.4501953125,2.102043077268957,-1637.0704964142205,0.29209904954418725
2020-08-03,21071.85546875,10891.599609375,2.090071953792786,-1692.371406745151,0.26355944098637274
2020-08-04,21490.25,11095.25,2.060056388171614,-1366.5906408610972,0.28353158839092985
2020-08-05,21509.69921875,11101.650390625,2.0323337774121253,-1052.5598551377043,0.30193587011562706
2020-08-06,21642.34765625,11200.150390625,2.0126907705192494,-900.0916633885026,0.29884731166323
2020-08-07,21753.748046875,11214.0498046875,1.9995742137268837,-669.5767740271222,0.3065280544764291
2020-08-10,21899.99609375,11270.150390625,1.9787699007315962,-401.0382759371896,0.31913640730304227
2020-08-11,22226.94140625,11322.5,1.9291141388687356,384.5465689087396,0.4049369673359657
2020-08-12,22263.7421875,11308.400390625,1.8644983222209406,1179.2486321770593,0.4941756566524013
2020-08-13,22196.091796875,11300.4501953125,1.7957441410135793,1903.3745678268206,0.5764487621417989
2020-08-14,21679.1484375,11178.400390625,1.7008001945292182,2666.922878599511,0.6698001024901322
2020-08-17,21700.59765625,11247.099609375,1.551987513636995,4245.239497868475,0.901622177507104
2020-08-18,22170.341796875,11385.349609375,1.3892966277373293,6352.713978959793,1.2373197935175764
2020-08-19,22285.640625,11408.400390625,1.2961050653808623,7499.155090817929,1.427928246821877
2020-08-20,21999.193359375,11312.2001953125,1.212380073457444,8284.50725561672,1.5725399555858632
2020-08-21,22299.33984375,11371.599609375,1.1330091800429403,9415.21309455541,1.7988554395152667
2020-08-24,22832.734375,11466.4501953125,1.1060866848211879,10149.846491799535,1.9649960615227222
2020-08-25,23091.8828125,11472.25,1.1156209009171,10293.2009319538,2.0107758177855026
2020-08-26,23413.927734375,11549.599609375,1.1539899230760484,10085.806169593185,1.968729549442318
2020-08-27,23600.076171875,11559.25,1.1725493220597716,10046.285420855585,1.949864387520045
2020-08-28,24523.515625,11647.599609375,1.261727732897302,9827.41617616778,1.8588857561104906
2020-08-31,23754.07421875,11387.5,1.3080335995252632,8858.841604156065,1.5713268260139632
2020-09-01,23811.72265625,11470.25,1.3412246150558325,8427.541015405837,1.4120143444115545
2020-09-02,23874.2734375,11535.0,1.390561596466229,7834.145422262049,1.228779295958548
2020-09-03,23530.576171875,11527.4501953125,1.4072177824603922,7308.943270604728,1.0841003822785689
2020-09-04,23011.232421875,11333.849609375,1.4100315846305596,7030.146497203521,1.0074741440927706
2020-09-07,22944.783203125,11355.0498046875,1.3591403548342342,7511.6767824216295,1.1157919761148611
2020-09-08,22744.13671875,11317.349609375,1.3191043446748316,7815.371678819429,1.1827309780271278
2020-09-09,22266.740234375,11278.0,1.2486082299197567,8184.936617339983,1.25863535017754
2020-09-10,22465.9375,11449.25,1.2198622707057787,8499.429397121863,1.3146398674052
2020-09-11,22479.6875,11464.4501953125,1.2079985864861802,8630.647869221288,1.3192736283519548
2020-09-14,22100.9921875,11440.0498046875,1.2082245393737276,8278.843281818943,1.2158794053865511
2020-09-15,22465.388671875,11521.7998046875,1.2410286654108373,8166.504837132825,1.1681349565647536
2020-09-16,22573.2890625,11604.5498046875,1.2286856413354748,8314.94534331808,1.17449672858186
2020-09-17,22320.08984375,11516.099609375,1.2257716578195452,8203.98133395139,1.1236332319053355
2020-09-18,22030.794921875,11504.9501953125,1.2070416549661678,8143.840797821666,1.0828834739339777
2020-09-21,21366.552734375,11250.5498046875,1.1970521369271894,7899.058049068055,1.0027664581701736
2020-09-22,21138.853515625,11153.650390625,1.2141758061522987,7596.36106104699,0.9119914155359032
2020-09-23,21178.25390625,11131.849609375,1.3158440168232182,6530.476201578027,0.6657897120531867
2020-09-24,20456.611328125,10805.5498046875,1.4994097900711438,4254.664163875226,0.17016304866207546
2020-09-25,20982.10546875,11050.25,1.6017243516256208,3282.650952198983,-0.04649950332624713
2020-09-28,21665.248046875,11227.5498046875,1.668959876169515,2926.917915156686,-0.1316447881253003
2020-09-29,21411.052734375,11222.400390625,1.782472694694805,1407.4304691536236,-0.4623195142856635
2020-09-30,21451.55078125,11247.5498046875,1.9601319589662425,-595.1310509824871,-0.8887226974186914
2020-10-01,22245.7421875,11416.9501953125,2.1256292589334183,-2022.4611954418542,-1.1816404885190694
2020-10-05,22370.689453125,11503.349609375,2.2672572578876817,-3710.363438749897,-1.5128409215193528
2020-10-06,22853.43359375,11662.400390625,2.357052090384135,-4635.451625869413,-1.6696558904778898
2020-10-07,22964.533203125,11738.849609375,2.4586883295328805,-5897.639333586925,-1.8760206791253264
2020-10-08,23191.080078125,11834.599609375,2.5539961143844163,-7034.44133951408,-2.0327369795421877
2020-10-09,23846.5234375,11914.2001953125,2.7065220947800226,-8399.522632745742,-2.202954359621888
2020-10-12,23712.525390625,11930.9501953125,2.7703417337154277,-9340.28385832945,-2.268368850357348
2020-10-13,23491.92578125,11934.5,2.7680899428493464,-9543.843641685526,-2.1983219608857745
2020-10-14,23874.373046875,11971.0498046875,2.789287821496123,-9516.330383863387,-2.097042183165679
2020-10-15,23072.1328125,11680.349609375,2.8527591709507942,-10249.091655556062,-2.1204153616830825
2020-10-16,23532.9765625,11762.4501953125,2.9109667185718098,-10707.124484913169,-2.096974592627509
2020-10-19,24266.46875,11873.0498046875,3.0085282511184546,-11453.937014338793,-2.1149497095945162
2020-10-20,24311.517578125,11896.7998046875,3.0691580601460036,-12201.641432375043,-2.126740351275665
2020-10-21,24634.763671875,11937.650390625,3.1333122580226838,-12769.622629059595,-2.1068852786463053
2020-10-22,24483.865234375,11896.4501953125,3.195883134348951,-13535.799303446503,-2.1079042531404886
2020-10-23,24478.015625,11930.349609375,3.2425771359609024,-14207.06324237946,-2.092568386825866
2020-10-26,24075.169921875,11767.75,3.2933281317792744,-14679.892200870556,-2.051103165014613
2020-10-27,24769.212890625,11889.400390625,3.3996597324388147,-15650.702860225123,-2.067699856106232
2020-10-28,24232.21875,11729.599609375,3.444288670427424,-16167.908293220251,-2.026939519893435
2020-10-29,24091.720703125,11670.7998046875,3.4816152085765117,-16541.513393126785,-1.9719869354941637
2020-10-30,23900.623046875,11642.400390625,3.4926096465195213,-16761.736866064515,-1.9049038963193994
2020-11-02,24892.2109375,11669.150390625,3.544593772050185,-16470.186862226357,-1.7916028433699076
2020-11-03,25682.501953125,11813.5,3.6596965508723347,-17551.323250605325,-1.8231453646502236
2020-11-04,25771.30078125,11908.5,3.786205642151439,-19316.729108310414,-1.9110835104130908
2020-11-05,26312.79296875,12120.2998046875,3.929569571049517,-21314.7683357474,-2.0036164252744584
2020-11-06,26798.638671875,12263.5498046875,4.062421726802702,-23021.072502414536,-2.0528683063954865
2020-11-09,27533.779296875,12461.0498046875,4.183287442988626,-24594.373877530095,-2.0792893600471616
2020-11-10,28605.66796875,12631.099609375,4.328135325009181,-26063.440444295607,-2.0894241688191513
2020-11-11,28844.6640625,12749.150390625,4.397476550133364,-27219.42581439705,-2.071403134053977
2020-11-12,28278.47265625,12690.7998046875,4.406780213660031,-27647.092818567464,-1.9991640716884134
2020-11-13,28465.369140625,12719.9501953125,4.422038723944968,-27782.74318969823,-1.9133448072439478
2020-11-17,29180.9609375,12874.2001953125,4.44033369261553,-27984.78395522353,-1.8423179590506686
2020-11-18,29749.50390625,12938.25,4.484843717663307,-28276.525323807284,-1.7853671280048395
2020-11-19,28902.71484375,12771.7001953125,4.512579640103883,-28730.599427127978,-1.745210256102164
2020-11-20,29235.66015625,12859.0498046875,4.53130700552212,-29032.64230808831,-1.6973851717868385
2020-11-23,29023.861328125,12926.4501953125,4.51330177174428,-29317.109240743106,-1.6522484385740681
2020-11-24,29736.904296875,13055.150390625,4.510041718312371,-29142.36860368579,-1.5784088310782096
